,Unnamed: 0,thing_id,thing_name,clep_id,thing_latitude,thing_longitude,Client Name,Partner Name,City,status,runhour,fuel
319,319,7786,NWKZM19531,1276,9.8601711,76.3349547,TRINE HOLDINGS  (MAHINDRA HOLIDAYS & RESORTS INDIA LTD),Mahindra Powerol,,False,NA,NA
320,320,7787,TGDF8002N09350E,1276,9.8601711,76.3349547,TRINE HOLDINGS  (MAHINDRA HOLIDAYS & RESORTS INDIA LTD),Mahindra Powerol,,False,NA,NA
321,321,7788,62.5 kva,1157,0.0,0.0,M/s Goodwill Enterprise/DEB Enterprise,Genset India,,False,NA,NA
322,322,7789,N4P20M07844,1277,10.943219,76.0,Brown ARC Enterprises Pvt Ltd,Mahindra Powerol,Puthanathani,False,NA,NA
323,323,7790,KAKZD00140,1278,10.9888009,79.2898992,Sri Ganapathy Fly Ash Bricks,Mahindra Powerol,,False,NA,NA
324,324,7791,MGBF8088S00821G,1274,76.3596266,15.1332036,SWASTIK STEEL HOSPET PVT LTD,Mahindra Powerol,,False,NA,NA
325,325,7796,MGBF8088S00745F,1275,76.3597736,15.0893743,SAIVIJAY PRAGATI STEEL UDYOG PRIVATE LIMITED,Mahindra Powerol,,False,NA,NA
326,326,7797,DG-1 pcc1302,1281,13.1533465,77.6608978,Sahni Traders,Phoenix Robotix,,False,NA,NA
327,327,7798,KCMZH01046,1282,22.53423,70.76647,DARSHAN INSTITUTE OF ENGG AND TECHNOLOGY,Mahindra Powerol,,False,NA,NA
328,328,7799,40195 - Shankarpuram,1163,12.95138,77.56882,MPS,Murari Power,Bengaluru,True,NA,NA
329,329,7801,KEMZF00954,1284,21.67575,73.14701,Champion Advanced Materials Pvt Ltd,Mahindra Powerol,,False,NA,NA
330,330,7802,60133 - Mission Road,1163,12.9633,77.58907,MPS,Murari Power,Bengaluru,True,NA,NA
331,331,7803,Mauli Garden,1285,18.63034022,73.64374121,Cooper Demo Installations,Cooper Corporation  Pvt. Limited,,False,NA,NA
332,332,7804,"MGBF8088S00593F,MGBF8088S00551E",1286,76.3868298,15.2799243,MEGHA ENGINEERING And INFRASTRUCTURES LIMITED,Mahindra Powerol,,False,NA,NA
333,333,7805,40374 - Langford Town,1163,12.95816,77.60538,MPS,Murari Power,Bengaluru,True,NA,NA
334,334,7806,AALZB10939,1287,21.87415,73.06282,BHRUGU FOODS LLP,Mahindra Powerol,,False,NA,NA
335,335,7807,16213 - Jakkasandra,1163,12.92758,77.62145,MPS,Murari Power,Bengaluru,True,NA,NA
336,336,7817,Factory Site Demo,1289,28.994279,79.441763,CSH Power Factory Site,CSH Power Himoinsa Private Ltd,Rudrapur,False,NA,NA
337,337,7818,KCLZF00499,1290,10.460148,76.258218,BRD CAR WORLD,Mahindra Powerol,Thrissur,False,NA,NA
338,338,7819,N4E21HK03823,1291,19.57444648,74.20894839,Sachdev Sonography And X Ray Centre,Mahindra Powerol,,False,NA,NA
339,339,7821,KCLZK00631,1292,19.15523556,72.92999768,Sai Sastha Crystal Mumbai,Mahindra Powerol,Mumbai,True,NA,NA
340,340,7822,MGBF8088S00968G,1293,19.15775002,73.24291241,"Indo Amines Ltd, Badlapur",Mahindra Powerol,Kulgaon Badlapur,False,NA,NA
341,341,7823,KAJZJ00238,1294,23.47921,87.453717,Supreme Power System,Mahindra Powerol,,False,NA,NA
342,342,7824,"DCB BANK LTD,Bihar",1157,83.603881,25.03779,M/s Goodwill Enterprise/DEB Enterprise,Genset India,,False,NA,NA
343,343,7825,"DCB BANK LTD,Bihar,KADJAR",1157,87.476714,25.802426,M/s Goodwill Enterprise/DEB Enterprise,Genset India,,False,NA,NA
344,344,7826,Mahima Life science DG1,1295,29.136369,77.018208,Mahima Life Sciences,Phoenix Robotix,,False,NA,NA
345,345,7827,E210169,1296,16.691174,74.242788,Vinay,Pai Kane Group,Kolhapur,False,NA,NA
346,346,7828,71247 - Doddnagamangala,1163,12.86266,77.67537,MPS,Murari Power,Bengaluru,True,NA,NA
347,347,7829,"CPWD, Noida",1058,0.0,0.0,Perfect Generator Technologies Pvt Ltd,Perfect Generator Technologies,,False,NA,NA
348,348,7830,41193 - Nagnathpura,1163,12.87422,77.66741,MPS,Murari Power,Bengaluru,True,NA,NA
349,349,7831,KELZC00462,1297,22.572697,88.353278,OFFICE OF THE COMMISSIONER OF KOLKATA POLICE,Mahindra Powerol,Kolkata,True,NA,NA
350,350,7832,DGS500-010,1298,-26.16195,28.20918,Test 1 GPH,Generator And Plant Hire (SA) Pty Ltd,,False,NA,NA
351,351,7833,10514 - Hosur Main Road,1163,12.86824,77.65513,MPS,Murari Power,Bengaluru,True,NA,NA
352,352,7834,KCMZE00924,1299,22.314041,88.661344,CANNING SUB DIVISIONAL HOSPITAL,Mahindra Powerol,,False,NA,NA
353,353,7835,TGDF8002N08007D,1302,23.917292,87.469717,Sandip Construction,Mahindra Powerol,Siuri,False,NA,NA
354,354,7836,12662 - Hongasandra,1163,12.88684,77.62557,MPS,Murari Power,Bengaluru,True,NA,NA
355,355,7838,17650 - Doddkalasandra,1163,12.88629,77.55706,MPS,Murari Power,Bengaluru,True,NA,NA
356,356,7839,N3H21AT06872,1303,27.8262021,73.2036167, Mamta Engineering Corporation,Mahindra Powerol,,False,NA,NA
357,357,7840,40622 - Puttenahally,1163,12.88837,77.58005,MPS,Murari Power,Bengaluru,True,NA,NA
358,358,7841,21968 - JP Nagar 8th Phase,1163,12.86552,77.58016,MPS,Murari Power,Bengaluru,True,NA,NA
359,359,7842,Civil Hospital Kannad,1186,20.265217,75.133972,OGP Sub District Hospital,United Gensets Pvt Ltd,,False,NA,NA
360,360,7843,CIVIL HOSPITAL AMBAD,1186,19.952959,73.737518,OGP Sub District Hospital,United Gensets Pvt Ltd,Nashik,False,NA,NA
361,361,7844,CIVIL HOSPITAL MALVANI MALAD,1186,19.188056,72.815665,OGP Sub District Hospital,United Gensets Pvt Ltd,Mumbai,True,NA,NA
